type,latitude,longitude,direction,mrm,id,jurisdiction,route,description,rtmp_url,ios_url,rtsp_url,image_url,active
Traffic Camera,38.762019,-78.634045,SB,273,86456,Staunton,I-81,I-81  /  MM 273  /  SB  / Mount Jackson VA,rtmp://s12.us-east-1.skyvdn.com:1935/rtplive/StauntonCCTV81273N,http://s12.us-east-1.skyvdn.com:1935/rtplive/StauntonCCTV81273N/playlist.m3u8,rtsp://s12.us-east-1.skyvdn.com/rtplive/StauntonCCTV81273N,https://images.skyvdn.com/thumbs/StauntonCCTV81273N.flv.png,1
Traffic Camera,38.80772,-78.60134,SB,277.2,86473,Staunton,I-81,"I-81  /  MM 277.2  /  SB  /  Edinburg, VA",rtmp://s12.us-east-1.skyvdn.com:1935/rtplive/StauntonCCTV81277S,http://s12.us-east-1.skyvdn.com:1935/rtplive/StauntonCCTV81277S/playlist.m3u8,rtsp://s12.us-east-1.skyvdn.com/rtplive/StauntonCCTV81277S,https://images.skyvdn.com/thumbs/StauntonCCTV81277S.flv.png,1
Traffic Camera,38.871235,-78.527574,NB,283,86486,Staunton,I-81,I-81  /  MM 283  /  NB  /  Woodstock,rtmp://s12.us-east-1.skyvdn.com:1935/rtplive/StauntonCCTV81283N,http://s12.us-east-1.skyvdn.com:1935/rtplive/StauntonCCTV81283N/playlist.m3u8,rtsp://s12.us-east-1.skyvdn.com/rtplive/StauntonCCTV81283N,https://images.skyvdn.com/thumbs/StauntonCCTV81283N.flv.png,1
Traffic Camera,38.964976,-78.436732,NB,291,86507,Staunton,I-81,I-81  /  MM 291  /  NB  /  Tom's Brook VA,rtmp://s12.us-east-1.skyvdn.com:1935/rtplive/StauntonCCTV81291N,http://s12.us-east-1.skyvdn.com:1935/rtplive/StauntonCCTV81291N/playlist.m3u8,rtsp://s12.us-east-1.skyvdn.com/rtplive/StauntonCCTV81291N,https://images.skyvdn.com/thumbs/StauntonCCTV81291N.flv.png,1
Traffic Camera,39.007894,-78.334189,SB,298,86522,Staunton,I-81,I-81  /  MM 298  /  SB  / Old Valley Pike,rtmp://s12.us-east-1.skyvdn.com:1935/rtplive/StauntonCCTV81298S,http://s12.us-east-1.skyvdn.com:1935/rtplive/StauntonCCTV81298S/playlist.m3u8,rtsp://s12.us-east-1.skyvdn.com/rtplive/StauntonCCTV81298S,https://images.skyvdn.com/thumbs/StauntonCCTV81298S.flv.png,1
Traffic Camera,39.01001,-78.29842,Median,300,86539,Staunton,I-81,I-81 / MM 300 / Median / I-66 Interchange,rtmp://s12.us-east-1.skyvdn.com:1935/rtplive/StauntonCCTV81300M,http://s12.us-east-1.skyvdn.com:1935/rtplive/StauntonCCTV81300M/playlist.m3u8,rtsp://s12.us-east-1.skyvdn.com/rtplive/StauntonCCTV81300M,https://images.skyvdn.com/thumbs/StauntonCCTV81300M.flv.png,1
Traffic Camera,39.009963,-78.29839,SB,300,9ca78ca0-dd5e-11e7-9cc4-0123456789ab,Staunton,I-81,I-81 / MM 300 / SB / I-66 Interchange,rtmp://s12.us-east-1.skyvdn.com:1935/rtplive/StauntonCCTV81300S,http://s12.us-east-1.skyvdn.com:1935/rtplive/StauntonCCTV81300S/playlist.m3u8,rtsp://s12.us-east-1.skyvdn.com/rtplive/StauntonCCTV81300S,https://images.skyvdn.com/thumbs/StauntonCCTV81300S.flv.png,1
Traffic Camera,39.02757,-78.26983,NB,302,86568,Staunton,I-81,I-81  /  MM 302  /  NB  /   Middletown VA,rtmp://s12.us-east-1.skyvdn.com:1935/rtplive/StauntonCCTV81302N,http://s12.us-east-1.skyvdn.com:1935/rtplive/StauntonCCTV81302N/playlist.m3u8,rtsp://s12.us-east-1.skyvdn.com/rtplive/StauntonCCTV81302N,https://images.skyvdn.com/thumbs/StauntonCCTV81302N.flv.png,1
Traffic Camera,39.0815,-78.21522,NB,307,86583,Staunton,I-81,I-81  /  MM 307  /  NB  /  Stephens City VA,rtmp://s12.us-east-1.skyvdn.com:1935/rtplive/StauntonCCTV81307N,http://s12.us-east-1.skyvdn.com:1935/rtplive/StauntonCCTV81307N/playlist.m3u8,rtsp://s12.us-east-1.skyvdn.com/rtplive/StauntonCCTV81307N,https://images.skyvdn.com/thumbs/StauntonCCTV81307N.flv.png,1
Traffic Camera,39.120283,-78.191349,NB,310,86595,Staunton,I-81,I-81  /  MM 310  /  NB  / Winchester VA,rtmp://s12.us-east-1.skyvdn.com:1935/rtplive/StauntonCCTV81310N,http://s12.us-east-1.skyvdn.com:1935/rtplive/StauntonCCTV81310N/playlist.m3u8,rtsp://s12.us-east-1.skyvdn.com/rtplive/StauntonCCTV81310N,https://images.skyvdn.com/thumbs/StauntonCCTV81310N.flv.png,1
